,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Ninetales (Alolan),38,Ninetales,,7,1.1,19.9,Ice,Fairy,Snow Cloak,,Snow Warning,Blue,25,75,0,20,Ground,,75,177,1000000,Ordinary,,Alolan,73,67,75,81,100,109,505,84.2,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales,38,Ninetales,Kyukon,1,1.1,19.9,Fire,,Flash Fire,,Drought,Yellow,25,75,0,20,Ground,,75,177,1000000,Ordinary,,,73,76,75,81,100,100,505,84.2,0,0,0,0,1,1,"1 Special Defense, 1 Speed",50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,16.4,Fox,2 stages evolution,Vulpix,Use Fire Stone,Ninetales,,,,,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
Jigglypuff,39,Jigglypuff,Purin,1,0.5,5.5,Normal,Fairy,Cute Charm,Competitive,Friend Guard,Pink,25,75,0,10,Fairy,,170,95,800000,Ordinary,,,115,45,20,45,25,20,270,45.0,2,0,0,0,0,0,2 HP,50,Fast,10,Fast,800000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,22,Balloon,3 stages evolution,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep."
Wigglytuff,40,Wigglytuff,Pukurin,1,1.0,12.0,Normal,Fairy,Cute Charm,Competitive,Frisk,Pink,25,75,0,10,Fairy,,50,218,800000,Ordinary,,,140,70,45,85,50,45,435,72.5,3,0,0,0,0,0,3 HP,50,Fast,10,Fast,800000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1,12,Balloon,3 stages evolution,Igglybuff,Level Up with Happiness Value at 220,Jigglypuff,Use Moon Stone,Wigglytuff,,,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
Zubat,41,Zubat,Zubat,1,0.8,7.5,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,255,49,1000000,Ordinary,,,40,45,35,30,40,55,245,40.8,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,11.7,Bat,3 stages evolution,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
Golbat,42,Golbat,Golbat,1,1.6,55.0,Poison,Flying,Inner Focus,,Infiltrator,Purple,50,50,0,15,Flying,,90,159,1000000,Ordinary,,,75,80,70,65,75,90,455,75.8,0,0,0,0,0,2,2 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5,21.5,Bat,3 stages evolution,Zubat,Level ,Golbat,Level Up with Happiness Value at 220,Crobat,,,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
Oddish,43,Oddish,Nazonokusa,1,0.5,5.4,Grass,Poison,Chlorophyll,,Run Away,Blue,50,50,0,20,Grass,,255,64,1058960,Ordinary,,,45,50,55,75,65,30,320,53.3,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,21.6,Weed,3 stages evolution with 2 forms in last stage,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,Use Sun Stone,Bellossom,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
Gloom,44,Gloom,Kusaihana,1,0.8,8.6,Grass,Poison,Chlorophyll,,Stench,Blue,50,50,0,20,Grass,,120,138,1058960,Ordinary,,,60,65,70,85,75,40,395,65.8,0,0,0,2,0,0,2 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,13.4,Weed,3 stages evolution with 2 forms in last stage,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,Use Sun Stone,Bellossom,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
Vileplume,45,Vileplume,Ruffresia,1,1.2,18.6,Grass,Poison,Chlorophyll,,Effect Spore,Red,50,50,0,20,Grass,,45,245,1058960,Ordinary,,,75,80,85,110,90,50,490,81.7,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,12.9,Flower,3 stages evolution with 2 forms in last stage,Oddish,Level,Gloom,Use Leaf Stone,Vileplume,,,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
Paras,46,Paras,Paras,1,0.3,5.4,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,190,57,1000000,Ordinary,,,35,70,55,45,55,25,285,47.5,0,1,0,0,0,0,1 Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,60,Mushroom,2 stages evolution,Paras,Level ,Parasect,,,,,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
Parasect,47,Parasect,Parasect,1,1.0,29.5,Bug,Grass,Effect Spore,Dry Skin,Damp,Red,50,50,0,20,Bug,Grass,75,142,1000000,Ordinary,,,60,95,80,60,80,30,405,67.5,0,2,1,0,0,0,"2 Attack, 1 Defense",50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1,29.5,Mushroom,2 stages evolution,Paras,Level ,Parasect,,,,,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.
Venonat,48,Venonat,Kongpang,1,1.0,30.0,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,Purple,50,50,0,20,Bug,,190,61,1000000,Ordinary,,,60,55,50,40,55,45,305,50.8,0,0,0,0,1,0,1 Special Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,30,Insect,2 stages evolution,Venonat,Level ,Venomoth,,,,,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes."
Venomoth,49,Venomoth,Morphon,1,1.5,12.5,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,Purple,50,50,0,20,Bug,,75,158,1000000,Ordinary,,,70,65,60,90,75,90,450,75.0,0,0,0,1,0,1,"1 Special Attack, 1 Speed",50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,5.6,Poison Moth,2 stages evolution,Venonat,Level ,Venomoth,,,,,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.
Diglett (Alolan),50,Diglett,,7,0.2,1.0,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,Alolan,10,55,30,35,45,90,265,44.2,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett,50,Diglett,Digda,1,0.2,0.8,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,255,53,1000000,Ordinary,,,10,55,25,35,45,95,265,44.2,0,0,0,0,0,1,1 Speed,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,20,Mole,2 stages evolution,Diglett,Level,Dugtrio,,,,,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
Dugtrio,51,Dugtrio,Dugtrio,1,0.7,33.3,Ground,,Sand Veil,Arena Trap,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,,35,100,50,50,70,120,425,70.8,0,0,0,0,0,2,2 Speed,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,68,Mole,2 stages evolution,Diglett,Level,Dugtrio,,,,,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
Dugtrio (Alolan),51,Dugtrio,,7,0.7,66.6,Ground,Steel,Sand Veil,Tangling Hair,Sand Force,Brown,50,50,0,20,Ground,,50,149,1000000,Ordinary,,Alolan,35,100,60,50,70,110,425,70.8,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth,52,Meowth,Nyarth,1,0.4,4.2,Normal,,Pickup,Technician,Unnerve,Yellow,50,50,0,20,Ground,,255,58,1000000,Ordinary,,,40,45,35,40,40,90,290,48.3,0,0,0,0,0,1,1 Speed,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,Gigantamax Meowth,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,26.3,Scratch Cat,2 stages evolution,Meowth,Level,Persian,,,,,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
Meowth (Galarian),52,Meowth,,8,0.4,7.5,Steel,,Pickup,Tough Claws,Unnerve,Brown,50,50,0,20,Ground,,255,58,1000000,Ordinary,,Galarian,50,65,55,40,40,40,290,48.3,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth (Alolan),52,Meowth,,7,0.4,4.2,Dark,,Pickup,Technician,Rattled,Blue,50,50,0,20,Ground,,255,58,1000000,Ordinary,,Alolan,40,35,35,50,40,90,290,48.3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian (Alolan),53,Persian,,7,1.1,33.0,Dark,,Fur Coat,Technician,Rattled,Blue,50,50,0,20,Ground,,90,154,1000000,Ordinary,,Alolan,65,60,60,75,65,115,440,73.3,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,53,Persian,Persian,1,1.0,32.0,Normal,,Limber,Technician,Unnerve,Yellow,50,50,0,20,Ground,,90,154,1000000,Ordinary,,,65,70,60,65,65,115,440,73.3,0,0,0,0,0,2,2 Speed,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,32,Classy Cat,2 stages evolution,Meowth,Level,Persian,,,,,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
Psyduck,54,Psyduck,Koduck,1,0.8,19.6,Water,,Damp,Cloud Nine,Swift Swim,Yellow,50,50,0,20,Water1,Ground,190,64,1000000,Ordinary,,,50,52,48,65,50,55,320,53.3,0,0,0,1,0,0,1 Special Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,30.6,Duck,2 stages evolution,Psyduck,Level ,Golduck,,,,,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
Golduck,55,Golduck,Golduck,1,1.7,76.6,Water,,Damp,Cloud Nine,Swift Swim,Blue,50,50,0,20,Water1,Ground,75,175,1000000,Ordinary,,,80,82,78,95,80,85,500,83.3,0,0,0,2,0,0,2 Special Attack,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,26.5,Duck,2 stages evolution,Psyduck,Level ,Golduck,,,,,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display."
Mankey,56,Mankey,Mankey,1,0.5,28.0,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,190,61,1000000,Ordinary,,,40,80,35,35,45,70,305,50.8,0,1,0,0,0,0,1 Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,112,Pig Monkey,2 stages evolution,Mankey,Level ,Primeape,,,,,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.
Primeape,57,Primeape,Okorizaru,1,1.0,32.0,Fighting,,Vital Spirit,Anger Point,Defiant,Brown,50,50,0,20,Ground,,75,159,1000000,Ordinary,,,65,105,60,60,70,95,455,75.8,0,2,0,0,0,0,2 Attack,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,32,Pig Monkey,2 stages evolution,Mankey,Level ,Primeape,,,,,It stops being angry only when nobody else is around. To view this moment is very difficult.
Growlithe,58,Growlithe,Gardie,1,0.7,19.0,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,190,70,1250000,Ordinary,,,55,70,45,70,50,60,350,58.3,0,1,0,0,0,0,1 Attack,50,Slow,20,Slow,1250000,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,38.8,Puppy,2 stages evolution,Growlithe,Use Fire Stone,Arcanine,,,,,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
Arcanine,59,Arcanine,Windie,1,1.9,155.0,Fire,,Intimidate,Flash Fire,Justified,Brown,75,25,0,20,Ground,,75,194,1250000,Ordinary,,,90,110,80,100,80,95,555,92.5,0,2,0,0,0,0,2 Attack,50,Slow,20,Slow,1250000,1,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,42.9,Legendary,2 stages evolution,Growlithe,Use Fire Stone,Arcanine,,,,,"The sight of it running over 6,200 miles in a single day and night has captivated many people."
Poliwag,60,Poliwag,Nyoromo,1,0.6,12.4,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,255,60,1058960,Ordinary,,,40,50,40,40,40,90,300,50.0,0,0,0,0,0,1,1 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,34.4,Tadpole,3 stages evolution with 2 forms in last stage,Poliwag,Level,Poliwhirl,Use Water Stone,Poliwrath,Trade with  King's Rock,Politoed,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
Poliwhirl,61,Poliwhirl,Nyorozo,1,1.0,20.0,Water,,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,120,135,1058960,Ordinary,,,65,65,65,50,50,90,385,64.2,0,0,0,0,0,2,2 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,20,Tadpole,3 stages evolution with 2 forms in last stage,Poliwag,Level,Poliwhirl,Use Water Stone,Poliwrath,Trade with  King's Rock,Politoed,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.
Poliwrath,62,Poliwrath,Nyorobon,1,1.3,54.0,Water,Fighting,Water Absorb,Damp,Swift Swim,Blue,50,50,0,20,Water1,,45,255,1058960,Ordinary,,,90,95,95,70,90,70,510,85.0,0,0,3,0,0,0,3 Defense,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2,32,Tadpole,3 stages evolution with 2 forms in last stage,Poliwag,Level,Poliwhirl,Use Water Stone,Poliwrath,,,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward."
Abra,63,Abra,Casey,1,0.9,19.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,200,62,1058960,Ordinary,,,25,20,15,105,55,90,310,51.7,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,24.1,Psi,3 stages evolution,Abra,Level ,Kadabra,Trade,Alakazam,,,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.
Kadabra,64,Kadabra,Yungerer,1,1.3,56.5,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,100,140,1058960,Ordinary,,,40,35,30,120,70,105,400,66.7,0,0,0,2,0,0,2 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,33.4,Psi,3 stages evolution,Abra,Level ,Kadabra,Trade,Alakazam,,,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow."
Alakazam (Mega EV),65,Alakazam,,1,1.2,48.0,Psychic,,Trace,,,Brown,75,25,0,20,Human-Like,,50,270,1058960,Ordinary,Mega,,55,50,65,175,105,150,600,100.0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alakazam,65,Alakazam,Foodin,1,1.5,48.0,Psychic,,Synchronize,Inner Focus,Magic Guard,Brown,75,25,0,20,Human-Like,,50,250,1058960,Ordinary,,,55,50,45,135,95,120,500,83.3,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,Mega Alakazam,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,21.3,Psi,3 stages evolution,Abra,Level ,Kadabra,Trade,Alakazam,,,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
Machop,66,Machop,Wanriky,1,0.8,19.5,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,180,61,1058960,Ordinary,,,70,80,50,35,35,35,305,50.8,0,1,0,0,0,0,1 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,30.5,Superpower,3 stages evolution,Machop,Level ,Machoke,Trade,Machamp,,,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups."
Machoke,67,Machoke,Goriky,1,1.5,70.5,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,90,142,1058960,Ordinary,,,80,100,70,50,60,45,405,67.5,0,2,0,0,0,0,2 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,31.3,Superpower,3 stages evolution,Machop,Level ,Machoke,Trade,Machamp,,,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions."
Machamp,68,Machamp,Kairiky,1,1.6,130.0,Fighting,,Guts,No Guard,Steadfast,Gray,75,25,0,20,Human-Like,,45,253,1058960,Ordinary,,,90,130,80,65,85,55,505,84.2,0,3,0,0,0,0,3 Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,Gigantamax Machamp,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,50.8,Superpower,3 stages evolution,Machop,Level ,Machoke,Trade,Machamp,,,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.
Bellsprout,69,Bellsprout,Madatsubomi,1,0.7,4.0,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,255,60,1058960,Ordinary,,,50,75,35,70,30,40,300,50.0,0,1,0,0,0,0,1 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,8.2,Flower,3 stages evolution,Bellsprout,Level ,Weepinbell,Use Leaf Stone,Victreebel,,,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.
Weepinbell,70,Weepinbell,Utsudon,1,1.0,6.4,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,120,137,1058960,Ordinary,,,65,90,50,85,45,55,390,65.0,0,2,0,0,0,0,2 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,6.4,Flycatcher,3 stages evolution,Bellsprout,Level ,Weepinbell,Use Leaf Stone,Victreebel,,,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids."
Victreebel,71,Victreebel,Utsubot,1,1.7,15.5,Grass,Poison,Chlorophyll,,Gluttony,Green,50,50,0,20,Grass,,45,221,1058960,Ordinary,,,80,105,65,100,70,70,490,81.7,0,3,0,0,0,0,3 Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5,5.4,Flycatcher,3 stages evolution,Bellsprout,Level ,Weepinbell,Use Leaf Stone,Victreebel,,,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all."
Tentacool,72,Tentacool,Menokurage,1,0.9,45.5,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,190,67,1250000,Ordinary,,,40,40,35,50,100,70,335,55.8,0,0,0,0,1,0,1 Special Defense,50,Slow,20,Slow,1250000,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,56.2,Jellyfish,2 stages evolution,Tentacool,Level ,Tentacruel,,,,,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.
Tentacruel,73,Tentacruel,Dokukurage,1,1.6,55.0,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,Blue,50,50,0,20,Water3,,60,180,1250000,Ordinary,,,80,70,65,80,120,100,515,85.8,0,0,0,0,2,0,2 Special Defense,50,Slow,20,Slow,1250000,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5,21.5,Jellyfish,2 stages evolution,Tentacool,Level ,Tentacruel,,,,,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves."
Geodude,74,Geodude,Isitsubute,1,0.4,20.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,255,60,1058960,Ordinary,,,40,80,100,30,30,20,300,50.0,0,0,1,0,0,0,1 Defense,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,125,Rock,3 stages evolution,Geodude,Level,Graveler,Trade,Golem,,,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry."
Geodude (Alolan),74,Geodude,,7,0.4,20.3,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,255,60,1058960,Ordinary,,Alolan,40,80,100,30,30,20,300,50.0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graveler (Alolan),75,Graveler,,7,1.0,110.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,120,137,1058960,Ordinary,,Alolan,55,95,115,45,45,35,390,65.0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graveler,75,Graveler,Golone,1,1.0,105.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,120,137,1058960,Ordinary,,,55,95,115,45,45,35,390,65.0,0,0,2,0,0,0,2 Defense,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,105,Rock,3 stages evolution,Geodude,Level,Graveler,Trade,Golem,,,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid."
Golem (Alolan),76,Golem,,7,1.7,316.0,Rock,Electric,Magnet Pull,Sturdy,Galvanize,Gray,50,50,0,15,Mineral,,45,223,1058960,Ordinary,,Alolan,80,120,130,55,65,45,495,82.5,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem,76,Golem,Golonya,1,1.4,300.0,Rock,Ground,Rock Head,Sturdy,Sand Veil,Brown,50,50,0,15,Mineral,,45,223,1058960,Ordinary,,,80,120,130,55,65,45,495,82.5,0,0,3,0,0,0,3 Defense,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,,,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1,153.1,Megaton,3 stages evolution,Geodude,Level,Graveler,Trade,Golem,,,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air."
Ponyta (Galarian),77,Ponyta,,8,0.8,24.0,Psychic,,Run Away,Pastel Veil,Anticipation,White,50,50,0,20,Ground,,190,82,1000000,Ordinary,,Galarian,50,85,55,65,65,90,410,68.3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
